STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
15,7340116,Bất động sản,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,53,Điểm tối đa là 100
16,7340120,Kinh doanh quốc tế,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,71,Điểm tối đa là 100
17,7340121,Kinh doanh thương mại,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,71,Điểm tối đa là 100
18,7340122,Thương mại điện tử,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,72,Điểm tối đa là 100
19,7340201_01,Tài chính công,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,57,Điểm tối đa là 100
20,7340201_02,Thuế,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,56,Điểm tối đa là 100
21,7340201_03,Ngân hàng,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,63,Điểm tối đa là 100
22,7340201_04,Thị trường chứng khoán,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,52,Điểm tối đa là 100
23,7340201_05,Tài chính,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,66,Điểm tối đa là 100
24,7340201_06,Đầu tư tài chính,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,60,Điểm tối đa là 100
25,7340201_07,Quản trị Hải quan - Ngoại thương,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,56,Điểm tối đa là 100
26,7340204,Bảo hiểm,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,50,Điểm tối đa là 100
27,7340205,Công nghệ tài chính,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,69,Điểm tối đa là 100
28,7340206,Tài chính quốc tế,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,72,Điểm tối đa là 100
29,7340301_01,Chương trình Kế toán tích hợp chứng chỉ nghề nghiệp quốc tế (của tố chức nghề nghiệp ICAEW và ACCA),A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,64,Điểm tối đa là 100
30,7340301_02,Kế toán công,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,58,Điểm tối đa là 100
31,7340301_03,Kế toán doanh nghiệp,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,56,Điểm tối đa là 100
32,7340302,Kiểm toán,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,70,Điểm tối đa là 100
33,7340403,Quản lý công,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,51,Điểm tối đa là 100
34,7340404,Quản trị nhân lực,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,67,Điểm tối đa là 100
35,7340405_01,Hệ thống thông tin kinh doanh,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,67,Điểm tối đa là 100
36,7340405_02,Hệ thống hoạch định nguồn lực doanh nghiệp,,53,Điểm tối đa là 100
37,7380101,Luật kinh doanh quốc tế,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2,70,Điểm tối đa là 100
38,7380107,Luật kinh tế,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2,67,Điểm tối đa là 100
39,7460108,Khoa học dữ liệu,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,74,Điểm tối đa là 100
40,7480101,Khoa học máy tính,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,67,Điểm tối đa là 100
41,7480103,Kỹ thuật phần mềm,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,65,Điểm tối đa là 100
42,7480107_01,Robot và Trí tuệ nhân tạo (hệ kỹ sư),A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,63,Điểm tối đa là 100
43,7480107_02,Điều khiến thông minh và tự động hóa (hệ kỹ sư),A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,50,Điểm tối đa là 100
44,7480201_01,Công nghệ thông tin,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,61,Điểm tối đa là 100
45,7480201_02,Công nghệ nghệ thuật (Arttech),A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,65,Điểm tối đa là 100
46,7480201_03,Công nghệ và đổi mới sáng tạo,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,59,Điểm tối đa là 100
47,7480202,An toàn thông tin,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,49,Điểm tối đa là 100
48,7510605_01,Logistics và Quản lý chuỗi cung ứng,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,85,Điểm tối đa là 100
49,7510605_02,Công nghệ Logistic (hệ kỹ sư),A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,68,Điểm tối đa là 100
50,7580104,Kiến trúc và thiết kế đô thị thông minh,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2,56,Điểm tối đa là 100
51,7620114,Kinh doanh nông nghiệp,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,54,Điểm tối đa là 100
52,7810103,Quản trị dịch vụ du lịch và lữ hành,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,56,Điểm tối đa là 100
53,7810201_01,Quản trị khách sạn,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,62,Điểm tối đa là 100
54,7810201_02,Quản trị sự kiện và dịch vụ giải trí,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,68,Điểm tối đa là 100
55,ASA_Co_op,Cử nhân ISB Asean Co-op,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,72,Chương trình cử nhân tài năng; Cử nhân ASEAN Co_op
56,ISB_CNTN,Cử nhân Tài năng ISB BBus,A00; A01; D26; D27; D28; D29; D30; AH3; D01; D02; D03; D04; D05; D06; DD2; D07; D21; D22; D23; D24; D25; AH2,73,Chương trình cử nhân tài năng; Cử nhân ASEAN Co_op
