STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
35,7340405_01,Hệ thống thông tin kinh doanh,,64,Xét tuyển học sinh giỏi; điểm tối đa là 100
36,7340405_02,Hệ thống hoạch định nguồn lực doanh nghiệp,,51,Xét tuyển học sinh giỏi; điểm tối đa là 100
37,7380101,Luật kinh doanh quốc tế,,68,Xét tuyển học sinh giỏi; điểm tối đa là 100
38,7380107,Luật kinh tế,,65,Xét tuyển học sinh giỏi; điểm tối đa là 100
39,7460108,Khoa học dữ liệu,,72,Xét tuyển học sinh giỏi; điểm tối đa là 100
40,7480101,Khoa học máy tính,,66,Xét tuyển học sinh giỏi; điểm tối đa là 100
41,7480103,Kỹ thuật phần mềm,,62,Xét tuyển học sinh giỏi; điểm tối đa là 100
42,7480107_01,Robot và Trí tuệ nhân tạo (hệ kỹ sư),,60,Xét tuyển học sinh giỏi; điểm tối đa là 100
43,7480107_02,Điều khiến thông minh và tự động hóa (hệ kỹ sư),,50,Xét tuyển học sinh giỏi; điểm tối đa là 100
44,7480201_01,Công nghệ thông tin,,56,Xét tuyển học sinh giỏi; điểm tối đa là 100
45,7480201_02,Công nghệ nghệ thuật (Arttech),,65,Xét tuyển học sinh giỏi; điểm tối đa là 100
46,7480201_03,Công nghệ và đổi mới sáng tạo,,56,Xét tuyển học sinh giỏi; điểm tối đa là 100
47,7480202,An toàn thông tin,,49,Xét tuyển học sinh giỏi; điểm tối đa là 100
48,7510605_01,Logistics và Quản lý chuổi cung ứng,,83,Xét tuyển học sinh giỏi; điểm tối đa là 100
49,7510605_02,Công nghệ Logistic (hệ kỹ sư),,67,Xét tuyển học sinh giỏi; điểm tối đa là 100
50,7580104,Kiến trúc và thiết kế đô thị thông minh,,53,Xét tuyển học sinh giỏi; điểm tối đa là 100
51,7620114,Kinh doanh nông nghiệp,,50,Xét tuyển học sinh giỏi; điểm tối đa là 100
52,7810103,Quản trị dịch vụ du lịch và lữ hành,,53,Xét tuyển học sinh giỏi; điểm tối đa là 100
53,7810201_01,Quản trị khách sạn,,61,Xét tuyển học sinh giỏi; điểm tối đa là 100
54,7810201_02,Quản trị sự kiện và dịch vụ giải trí,,67,Xét tuyển học sinh giỏi; điểm tối đa là 100
55,ASA_Co_op,Cử nhân ISB Asean Co-op,,72,
56,ISB_CNTN,Cử nhân Tài năng ISB BBus,,73,
